Ano,Total,Nascimentos,Óbitos
2010,194890682,2939435,1240083
2011,196603732,2974525,1247751
2012,198314934,2953890,1258235
2013,200004188,2953178,1270306
2014,201717541,3028202,1284346
2015,203475683,3070979,1299541
2016,205156587,2901053,1314164
2017,206804741,3020743,1330811
2018,208494900,3003585,1349693
2019,210147125,2984414,1368954
2020,211755692,2963516,1389144
2021,213317639,2940629,1410602
2022,214828540,2913688,1433605
2023,216284269,2885501,1458023
2024,217684462,2856690,1483777
2025,219029093,2827039,1510693
2026,220316530,2797674,1539159
2027,221545234,2768000,1569117
2028,222713669,2738355,1600375
2029,223821305,2710134,1632845
2030,224868462,2683440,1666427
2031,225854415,2655850,1700970
2032,226777802,2628742,1736861
2033,227638581,2603540,1773877
2034,228437122,2579544,1812136
2035,229173685,2557147,1851454
2036,229847832,2534413,1891832
2037,230459062,2513030,1933167
2038,231007871,2493021,1975283
2039,231494650,2473758,2017958
2040,231919922,2455519,2060782
2041,232284233,2437785,2103915
2042,232588580,2422219,2147419
2043,232834065,2407325,2191168
2044,233020996,2392409,2234730
2045,233149625,2377677,2278119
2046,233220257,2363150,2321466
2047,233233670,2349527,2364398
2048,233190482,2335541,2407046
2049,233090464,2320604,2449148
2050,232933276,2304717,2490559
2051,232719169,2288973,2531362
2052,232448867,2273127,2571362
2053,232122448,2255972,2610595
2054,231739632,2237804,2648830
2055,231300323,2218450,2686056
2056,230805223,2199622,2722232
2057,230255685,2180831,2757317
2058,229652286,2161015,2791329
2059,228995541,2141033,2824224
2060,228286347,2120842,2856059
